Trans_mg,Trans_mg,magnesium transporter,Mg=>Mg,CD630_24360 or CD630_09020 or CD630_18310 or CD630_21220 or CD630_28320 or CD630_32700 or CD630_35200,putative cation efflux protein,Cobalt-zinc-cadmium resistance protein
Trans_for,Trans_for,Formate transport,Formate [e0]=>Formate,CD630_34030,putative formate/nitrite transporter,Formate efflux transporter FocA
Trans_no,Trans_no,nitrite transporter,Nitrite=>Nitrite,CD630_22300 or CD630_34030,putative formate/nitrite transporter,Formate efflux transporter FocA
Trans_k3,Trans_k3,potassium ion chanel,K+ [e0]=>K+,CD630_06970 or CD630_21420,putative regulator of K+ conductance,"KtrAB potassium uptake system, peripheral membrane component KtrA"
Trans_zn,Trans_zn,zinc transporter,Zn2+ [e0]=>Zn2+,CD630_10870 or CD630_09020 or CD630_18310 or CD630_21220 or CD630_28320 or CD630_32700 or CD630_35200,putative cation efflux protein,Cobalt-zinc-cadmium resistance protein
ID_708,ID_708,2-oxoglutarate dehydrogenase complex,2-Oxoglutarate + CoA + NAD=>CO2 + H+ + NADH + Succinyl-CoA,CD630_07230 and CD630_00390,"Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase, dihydrolipoyl dehydrogenase subunit",Dihydrolipoamide dehydrogenase (EC 1.8.1.4)
ID_370,ID_370,pyruvate carboxylase,ATP + H+ + H2CO3 + Pyruvate=>ADP + Oxaloacetate + Phosphate,CD630_00210,Pyruvate carboxylase,Pyruvate carboxylase (EC 6.4.1.1)
ID_310,ID_310,succinyl-CoA synthase,ATP + CoA + Succinate=>ADP + Phosphate + Succinyl-CoA,CD630_23430,Succinyl-CoA:coenzyme A transferase,Acetyl-CoA hydrolase (EC 3.1.2.1)
ID_198,ID_198,fumarate hydratase,Fumarate + H2O=>L-Malate,CD630_10030 and CD630_10040,"Fumarate hydratase class I, subunit B","Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)"
ID_557,ID_557,methionine adenosyltransferase,ATP + H2O + L-Methionine=>S-Adenosyl-L-methionine + Phosphate + PPi,CD630_01300,S-adenosylmethionine synthetase,S-adenosylmethionine synthetase (EC 2.5.1.6)
ID_231,ID_231,adenosylhomocysteinase,S-Adenosyl-homocysteine + H2O=>Adenosine + Homocysteine,CD630_26110,MTA/SAH nucleosidase (5'-methylthioadenosine nucleosidase) (S-adenosylhomocysteine nucleosidase),5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)
ID_711,ID_711,S-adenosylmethioninamine:putrescine 3-aminopropyltransferase,S-Adenosylmethioninamine + Putrescine=>M-m5tade-c_c0 + H+ + Spermidine,CD630_08900,Spermidine synthase,Spermidine synthase (EC 2.5.1.16)
ID_469,ID_469,cystathionine gamma-lyase,L-Cysteine + H2O=>H2S + NH3 + Pyruvate,CD630_30290 or CD630_24840 or CD630_26960 or CD630_27330,putative pyridoxal phosphate-dependent transferase,Cystathionine beta-lyase (EC 4.4.1.8)
ID_242,ID_242,L-cystyeine sulfurtransferase,M-unsc-c_c0 + L-Cysteine + H+=>M-ssc-c_c0 + L-Alanine,CD630_07530 or CD630_12790 or CD630_30320 or CD630_36700,putative cysteine desulfurase family protein,Cysteine desulfurase (EC 2.8.1.7)
ID_155,ID_155,S-adenosylmethioninamine:spermidine 3-aminopropyltransferase,S-Adenosylmethioninamine + Spermidine=>Spermine + H+ + M-m5tade-c_c0,CD630_08900,Spermidine synthase,Spermidine synthase (EC 2.5.1.16)
